created_stamp,modified_stamp,traditional,jyutping,correct,incorrect,difficulty,priority,last_reviewed_stamp
2021-05-27 18:38:30,2021-07-23 16:14:07,骨頭,gwat1 tau4,1,1,90,,2021-06-08 17:03:47
2021-05-27 18:35:38,2021-07-23 16:14:07,狼,long4,1,1,90,,2021-06-08 17:38:01
2021-05-27 18:35:02,2021-07-23 16:14:07,老虎機,lou5 fu2 gei1,1,1,90,,2021-06-08 17:07:51
2021-05-27 18:27:55,2021-07-23 16:14:07,奶昔,naai5 sik1,1,1,90,,2021-06-08 16:47:38
2021-05-27 18:26:43,2021-07-23 16:14:07,快餐,faai3 caan1,1,1,90,,2021-06-08 16:48:03
2021-05-27 18:25:49,2021-07-23 16:14:07,眼瞓,ngaan5 fan3,1,1,90,,2021-06-08 16:50:34
2021-05-22 15:46:36,2021-07-23 16:14:07,冥想,ming5 soeng2,1,1,90,,2021-06-08 16:50:50
2021-05-22 15:45:07,2021-07-23 16:14:07,票,piu3,1,0,100,,2021-05-27 19:33:29
2021-05-22 15:44:40,2021-07-23 16:14:07,磨豆腐,mo4 dau6 fu6,1,0,100,,2021-05-27 19:33:37
2021-05-22 15:42:35,2021-07-23 16:14:07,手袋,sau2 doi6,0,1,90,,2021-06-08 17:43:11
2021-05-10 17:51:57,2021-07-23 16:14:07,落狗屎,lok6 gau2 si2,1,0,100,,2021-05-27 19:37:47
2021-05-10 17:51:16,2021-07-23 16:14:07,收兵,sau1 bing1,1,2,80,,2021-06-08 16:47:46
2021-05-10 17:47:58,2021-07-23 16:14:07,騎牛搵馬,ke4 ngau4 wan2 maa5,1,1,90,,2021-06-08 16:49:45
2021-05-10 17:47:36,2021-07-23 16:14:07,戴綠帽,daai3 luk6 mou2,1,2,80,,2021-06-08 16:50:56
2021-05-10 17:47:13,2021-07-23 16:14:07,雞同鴨講,gai1 tung4 aap3 gong2,1,1,90,,2021-06-08 16:47:30
2021-05-10 17:44:15,2021-07-23 16:14:07,瀨嘢,laai2 je5,1,2,76,,2021-06-08 16:45:35
2021-05-04 21:19:32,2021-07-23 16:14:07,捉蟲,zuk1 cung4,1,1,86,,2021-06-08 16:45:22
2021-05-03 22:25:42,2021-07-23 16:14:07,曳,jai6,0,2,90,,2021-06-08 16:44:55
2021-05-03 22:25:22,2021-07-23 16:14:07,永遠,wing5 jyun5,1,0,100,,2021-05-27 19:33:23
2021-05-03 22:24:18,2021-07-23 16:14:07,同時,tung4 si4,2,0,100,,2021-06-08 16:47:57
2021-05-03 22:22:57,2021-07-23 16:14:07,等一陣,dang2 jat1 zan6,2,1,90,,2021-06-08 16:50:24
2021-05-03 22:22:33,2021-07-23 16:14:07,買餸,maai5 sung3,1,0,100,,2021-05-27 19:35:58
2021-05-03 22:22:01,2021-07-23 16:14:07,一陣,jat1 zan6,0,2,90,,2021-06-08 16:45:12
2021-04-28 13:41:39,2021-07-23 16:14:07,孔雀,hung2 zoek3,0,0,100,low,1970-01-01 00:00:00
2021-04-28 13:41:28,2021-07-23 16:14:07,當然,dong1 jin4,3,4,80,high,2021-08-12 04:10:07
2021-04-26 21:35:19,2021-07-23 16:14:07,就嚟,zau6 lai4,5,7,68,veryhigh,2021-08-09 00:41:29
2021-04-26 21:34:43,2021-07-23 16:14:07,啱啱,ngaam1 ngaam1,1,2,88,veryhigh,2021-05-24 16:43:53
2021-04-26 21:32:16,2021-07-23 16:14:07,喊,haam3,2,1,86,,2021-05-27 19:30:02
2021-04-26 21:31:54,2021-07-23 16:14:07,傷害,soeng1 hoi6,1,2,90,,2021-05-24 16:40:33
2021-04-26 21:30:14,2021-07-23 16:14:07,下次見,haa6 ci3 gin3,2,0,100,,2021-05-22 15:57:03
2021-04-26 21:28:11,2021-07-23 16:14:07,地氈,dei6 zin1,1,3,90,,2021-05-27 19:28:05
2021-04-26 21:27:49,2021-07-23 16:14:07,毛巾,mou4 gan1,1,3,90,,2021-05-27 19:27:12
2021-04-26 21:13:02,2021-07-23 16:14:07,紙巾,zi2 gan1,1,3,90,,2021-05-27 19:25:24
2021-04-26 21:10:33,2021-07-23 16:14:07,瑜伽,jyu4 gaa1,1,3,90,,2021-05-27 19:25:05
2021-04-26 21:10:09,2021-07-23 16:14:07,一半,jat1 bun3,2,3,80,,2021-05-27 19:26:27
2021-04-26 21:06:43,2021-07-23 16:14:07,眼耳口鼻,ngaan5 ji5 hau2 bei6,1,3,90,,2021-05-27 19:24:54
2021-04-26 21:04:21,2021-07-23 16:14:07,郁咗一郁,juk1 zo2 jat1 juk1,2,1,90,,2021-05-24 16:44:35
2021-04-26 20:55:58,2021-07-23 16:14:07,痛,tung3,2,2,86,,2021-05-27 19:25:01
2021-04-26 20:41:34,2021-07-23 16:14:07,鎖匙,so2 si4,1,3,90,,2021-05-27 19:26:21
2021-04-26 20:40:22,2021-07-23 16:14:07,跌,dit3,1,2,90,,2021-05-24 16:44:26
2021-04-26 20:39:56,2021-07-23 16:14:07,跟住,gan1 zyu6,4,11,80,veryhigh,2021-08-13 15:35:11
2021-04-26 20:39:03,2021-07-23 16:14:07,小心,siu2 sam1,1,1,94,,2021-05-22 15:49:52
2021-04-26 20:38:33,2021-07-23 16:14:07,頭先,tau4 sin1,1,3,88,,2021-05-27 19:24:15
2021-04-26 20:37:33,2021-07-23 16:14:07,發生,faat3 sang1,2,2,90,,2021-05-27 19:25:58
2021-04-26 20:36:30,2021-07-23 16:14:07,咩,me1,1,1,94,,2021-05-22 15:49:48
2021-04-26 20:33:48,2021-07-23 16:14:07,拍拖,paak3 to1,1,3,90,,2021-05-27 19:27:28
2021-04-26 20:33:24,2021-07-23 16:14:07,已經,ji5 ging1,2,0,100,,2021-05-22 15:56:52
2021-04-26 20:32:53,2021-07-23 16:14:07,履歷,lei5 lik6,0,4,88,,2021-05-27 19:24:29
2021-04-26 20:31:40,2021-07-23 16:14:07,炒魷魚,caau2 jau4 jyu2,0,4,90,,2021-05-27 19:27:34
2021-04-26 20:30:07,2021-07-23 16:14:07,白頭髮,baak6 tau4 faat3,1,2,90,,2021-05-24 16:45:16
